epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6325,1.61397,2.53014,1.46007,0.84445,0.15017,0.17073,0.09456,1.61186,2.1131,1.45644,0.000366997,0.000366997,0.000366997
2,103.777,1.56203,1.7961,1.40423,0.57262,0.23162,0.18681,0.10099,1.65375,2.13893,1.53854,0.000722731,0.000722731,0.000722731
3,153.221,1.54325,1.67269,1.37365,0.68654,0.18435,0.20918,0.10659,1.6837,1.70971,1.54275,0.0010638,0.0010638,0.0010638
4,203.585,1.55422,1.59654,1.38558,0.58196,0.27046,0.23768,0.13131,1.569,1.61037,1.48138,0.00104501,0.00104501,0.00104501
5,251.608,1.5422,1.53435,1.37983,0.56594,0.23816,0.22006,0.11817,1.61405,1.52987,1.46868,0.00102301,0.00102301,0.00102301
6,299.705,1.48546,1.46334,1.35246,0.66035,0.23987,0.26253,0.14346,1.53857,1.51297,1.44234,0.00100101,0.00100101,0.00100101
7,347.149,1.46792,1.4081,1.33444,0.69063,0.24938,0.26474,0.14957,1.51075,1.44625,1.39606,0.000979013,0.000979013,0.000979013
8,396.877,1.4606,1.37556,1.32577,0.67009,0.25058,0.26528,0.14497,1.50187,1.45547,1.38808,0.000957015,0.000957015,0.000957015
9,444.375,1.44321,1.34722,1.31639,0.7546,0.24125,0.2773,0.15203,1.49052,1.49839,1.42007,0.000935018,0.000935018,0.000935018
10,492.537,1.43444,1.31558,1.31044,0.63334,0.28281,0.28442,0.15891,1.45786,1.39474,1.38365,0.00091302,0.00091302,0.00091302
11,541.085,1.42017,1.28926,1.29208,0.80093,0.24832,0.3176,0.16927,1.42504,1.3581,1.35675,0.000891022,0.000891022,0.000891022
12,591.008,1.38363,1.23906,1.2847,0.49677,0.31699,0.30488,0.16857,1.41225,1.38697,1.3692,0.000869024,0.000869024,0.000869024
13,638.949,1.39301,1.25073,1.29099,0.68145,0.27233,0.33251,0.18837,1.42545,1.27565,1.35017,0.000847026,0.000847026,0.000847026
14,686.246,1.37714,1.21364,1.27466,0.62371,0.33977,0.35963,0.20204,1.41731,1.36034,1.36003,0.000825029,0.000825029,0.000825029
15,733.837,1.38125,1.21943,1.27964,0.50067,0.30919,0.34318,0.1869,1.40402,1.27056,1.33293,0.000803031,0.000803031,0.000803031
16,783.483,1.35529,1.18427,1.25978,0.35914,0.35102,0.30865,0.17276,1.42019,1.27039,1.34242,0.000781033,0.000781033,0.000781033
17,830.698,1.35061,1.16419,1.25291,0.27918,0.29151,0.2948,0.17324,1.40952,1.25173,1.34383,0.000759035,0.000759035,0.000759035
18,878.295,1.32891,1.15627,1.24958,0.65984,0.30387,0.30854,0.17635,1.38773,1.27251,1.33737,0.000737037,0.000737037,0.000737037
19,926.822,1.31953,1.12526,1.24463,0.54793,0.37051,0.35062,0.18547,1.37392,1.21329,1.31867,0.00071504,0.00071504,0.00071504
20,974.549,1.30615,1.10104,1.22404,0.58627,0.3547,0.33372,0.19011,1.408,1.24711,1.33826,0.000693042,0.000693042,0.000693042
21,1021.78,1.31073,1.08166,1.22132,0.39374,0.33845,0.32639,0.18265,1.35404,1.21752,1.2781,0.000671044,0.000671044,0.000671044
22,1070.51,1.2973,1.08198,1.22834,0.53991,0.3503,0.3728,0.21385,1.38067,1.20258,1.31373,0.000649046,0.000649046,0.000649046
23,1117.92,1.30146,1.07838,1.22897,0.50523,0.36917,0.3636,0.20117,1.36193,1.17868,1.29773,0.000627048,0.000627048,0.000627048
24,1165.4,1.27364,1.0573,1.2188,0.44287,0.34349,0.37148,0.21176,1.37255,1.16976,1.30377,0.000605051,0.000605051,0.000605051
